=============LOG START=============
clock_rate = 2
[Internal event], [System time]: 2023-03-06 20:27:14.223268, [Logical Clock Time]: 1
[Internal event], [System time]: 2023-03-06 20:27:14.724228, [Logical Clock Time]: 2
[Receive]: 4, [System time]: 2023-03-06 20:27:15.224764, [Message Queue Length]: 0, [Logical Clock Time]: 5
[Receive]: 9, [System time]: 2023-03-06 20:27:15.725070, [Message Queue Length]: 1, [Logical Clock Time]: 10
[Receive]: 10, [System time]: 2023-03-06 20:27:16.225634, [Message Queue Length]: 1, [Logical Clock Time]: 11
[Receive]: 11, [System time]: 2023-03-06 20:27:16.726234, [Message Queue Length]: 2, [Logical Clock Time]: 12
[Receive]: 14, [System time]: 2023-03-06 20:27:17.226801, [Message Queue Length]: 2, [Logical Clock Time]: 15
[Receive]: 16, [System time]: 2023-03-06 20:27:17.727397, [Message Queue Length]: 1, [Logical Clock Time]: 17
[Receive]: 19, [System time]: 2023-03-06 20:27:18.227972, [Message Queue Length]: 1, [Logical Clock Time]: 20
[Receive]: 23, [System time]: 2023-03-06 20:27:18.728601, [Message Queue Length]: 1, [Logical Clock Time]: 24
[Receive]: 28, [System time]: 2023-03-06 20:27:19.229127, [Message Queue Length]: 1, [Logical Clock Time]: 29
[Receive]: 29, [System time]: 2023-03-06 20:27:19.729697, [Message Queue Length]: 1, [Logical Clock Time]: 30
[Receive]: 34, [System time]: 2023-03-06 20:27:20.230297, [Message Queue Length]: 0, [Logical Clock Time]: 35
[Internal event], [System time]: 2023-03-06 20:27:20.730874, [Logical Clock Time]: 36
[Receive]: 43, [System time]: 2023-03-06 20:27:21.231468, [Message Queue Length]: 0, [Logical Clock Time]: 44
[Receive]: 47, [System time]: 2023-03-06 20:27:21.732020, [Message Queue Length]: 0, [Logical Clock Time]: 48
[Receive]: 48, [System time]: 2023-03-06 20:27:22.232958, [Message Queue Length]: 1, [Logical Clock Time]: 49
[Receive]: 49, [System time]: 2023-03-06 20:27:22.733524, [Message Queue Length]: 0, [Logical Clock Time]: 50
[Receive]: 53, [System time]: 2023-03-06 20:27:23.234099, [Message Queue Length]: 1, [Logical Clock Time]: 54
[Receive]: 55, [System time]: 2023-03-06 20:27:23.734686, [Message Queue Length]: 1, [Logical Clock Time]: 56
[Receive]: 59, [System time]: 2023-03-06 20:27:24.235268, [Message Queue Length]: 2, [Logical Clock Time]: 60
[Receive]: 60, [System time]: 2023-03-06 20:27:24.735826, [Message Queue Length]: 1, [Logical Clock Time]: 61
[Receive]: 62, [System time]: 2023-03-06 20:27:25.236401, [Message Queue Length]: 0, [Logical Clock Time]: 63
[Receive]: 70, [System time]: 2023-03-06 20:27:25.736969, [Message Queue Length]: 1, [Logical Clock Time]: 71
[Receive]: 71, [System time]: 2023-03-06 20:27:26.237517, [Message Queue Length]: 0, [Logical Clock Time]: 72
[Receive]: 76, [System time]: 2023-03-06 20:27:26.738124, [Message Queue Length]: 1, [Logical Clock Time]: 77
[Receive]: 76, [System time]: 2023-03-06 20:27:27.238688, [Message Queue Length]: 1, [Logical Clock Time]: 78
[Receive]: 80, [System time]: 2023-03-06 20:27:27.739258, [Message Queue Length]: 0, [Logical Clock Time]: 81
[Send]: 82, [System time]: 2023-03-06 20:27:28.240064, [Logical Clock Time]: 82
[Receive]: 89, [System time]: 2023-03-06 20:27:28.740472, [Message Queue Length]: 1, [Logical Clock Time]: 90
[Receive]: 90, [System time]: 2023-03-06 20:27:29.241047, [Message Queue Length]: 2, [Logical Clock Time]: 91
[Receive]: 91, [System time]: 2023-03-06 20:27:29.741621, [Message Queue Length]: 3, [Logical Clock Time]: 92
[Receive]: 93, [System time]: 2023-03-06 20:27:30.242269, [Message Queue Length]: 4, [Logical Clock Time]: 94
[Receive]: 95, [System time]: 2023-03-06 20:27:30.742849, [Message Queue Length]: 4, [Logical Clock Time]: 96
[Receive]: 96, [System time]: 2023-03-06 20:27:31.243414, [Message Queue Length]: 3, [Logical Clock Time]: 97
[Receive]: 97, [System time]: 2023-03-06 20:27:31.743964, [Message Queue Length]: 4, [Logical Clock Time]: 98
[Receive]: 99, [System time]: 2023-03-06 20:27:32.244525, [Message Queue Length]: 4, [Logical Clock Time]: 100
[Receive]: 102, [System time]: 2023-03-06 20:27:32.745101, [Message Queue Length]: 5, [Logical Clock Time]: 103
[Receive]: 107, [System time]: 2023-03-06 20:27:33.245698, [Message Queue Length]: 4, [Logical Clock Time]: 108
[Receive]: 108, [System time]: 2023-03-06 20:27:33.746268, [Message Queue Length]: 4, [Logical Clock Time]: 109
[Receive]: 110, [System time]: 2023-03-06 20:27:34.246845, [Message Queue Length]: 5, [Logical Clock Time]: 111
[Receive]: 113, [System time]: 2023-03-06 20:27:34.747415, [Message Queue Length]: 5, [Logical Clock Time]: 114
[Receive]: 115, [System time]: 2023-03-06 20:27:35.247945, [Message Queue Length]: 5, [Logical Clock Time]: 116
[Receive]: 120, [System time]: 2023-03-06 20:27:35.748545, [Message Queue Length]: 5, [Logical Clock Time]: 121
[Receive]: 123, [System time]: 2023-03-06 20:27:36.249088, [Message Queue Length]: 5, [Logical Clock Time]: 124
[Receive]: 125, [System time]: 2023-03-06 20:27:36.749647, [Message Queue Length]: 5, [Logical Clock Time]: 126
[Receive]: 128, [System time]: 2023-03-06 20:27:37.250264, [Message Queue Length]: 4, [Logical Clock Time]: 129
[Receive]: 131, [System time]: 2023-03-06 20:27:37.750841, [Message Queue Length]: 5, [Logical Clock Time]: 132
[Receive]: 132, [System time]: 2023-03-06 20:27:38.251412, [Message Queue Length]: 5, [Logical Clock Time]: 133
[Receive]: 135, [System time]: 2023-03-06 20:27:38.752020, [Message Queue Length]: 5, [Logical Clock Time]: 136
[Receive]: 138, [System time]: 2023-03-06 20:27:39.252575, [Message Queue Length]: 5, [Logical Clock Time]: 139
[Receive]: 142, [System time]: 2023-03-06 20:27:39.753153, [Message Queue Length]: 5, [Logical Clock Time]: 143
[Receive]: 146, [System time]: 2023-03-06 20:27:40.253744, [Message Queue Length]: 4, [Logical Clock Time]: 147
[Receive]: 149, [System time]: 2023-03-06 20:27:40.754367, [Message Queue Length]: 4, [Logical Clock Time]: 150
[Receive]: 151, [System time]: 2023-03-06 20:27:41.254989, [Message Queue Length]: 4, [Logical Clock Time]: 152
[Receive]: 154, [System time]: 2023-03-06 20:27:41.755595, [Message Queue Length]: 3, [Logical Clock Time]: 155
[Receive]: 158, [System time]: 2023-03-06 20:27:42.256153, [Message Queue Length]: 2, [Logical Clock Time]: 159
[Receive]: 164, [System time]: 2023-03-06 20:27:42.756735, [Message Queue Length]: 2, [Logical Clock Time]: 165
[Receive]: 167, [System time]: 2023-03-06 20:27:43.257315, [Message Queue Length]: 1, [Logical Clock Time]: 168
[Receive]: 178, [System time]: 2023-03-06 20:27:43.757910, [Message Queue Length]: 1, [Logical Clock Time]: 179
[Receive]: 182, [System time]: 2023-03-06 20:27:44.258469, [Message Queue Length]: 0, [Logical Clock Time]: 183
[Receive]: 189, [System time]: 2023-03-06 20:27:44.759087, [Message Queue Length]: 1, [Logical Clock Time]: 190
[Receive]: 191, [System time]: 2023-03-06 20:27:45.259702, [Message Queue Length]: 1, [Logical Clock Time]: 192
[Receive]: 192, [System time]: 2023-03-06 20:27:45.760500, [Message Queue Length]: 1, [Logical Clock Time]: 193
[Receive]: 195, [System time]: 2023-03-06 20:27:46.261066, [Message Queue Length]: 0, [Logical Clock Time]: 196
[Send]: 197, [System time]: 2023-03-06 20:27:46.761793, [Logical Clock Time]: 197
[Receive]: 206, [System time]: 2023-03-06 20:27:47.262233, [Message Queue Length]: 0, [Logical Clock Time]: 207
[Internal event], [System time]: 2023-03-06 20:27:47.762819, [Logical Clock Time]: 208
[Receive]: 210, [System time]: 2023-03-06 20:27:48.263397, [Message Queue Length]: 1, [Logical Clock Time]: 211
[Receive]: 212, [System time]: 2023-03-06 20:27:48.763947, [Message Queue Length]: 0, [Logical Clock Time]: 213
[Receive]: 216, [System time]: 2023-03-06 20:27:49.264544, [Message Queue Length]: 1, [Logical Clock Time]: 217
[Receive]: 218, [System time]: 2023-03-06 20:27:49.765085, [Message Queue Length]: 0, [Logical Clock Time]: 219
[Internal event], [System time]: 2023-03-06 20:27:50.265727, [Logical Clock Time]: 220
[Receive]: 225, [System time]: 2023-03-06 20:27:50.766316, [Message Queue Length]: 0, [Logical Clock Time]: 226
[Internal event], [System time]: 2023-03-06 20:27:51.266899, [Logical Clock Time]: 227
[Internal event], [System time]: 2023-03-06 20:27:51.767449, [Logical Clock Time]: 228
[Send]: 229, [System time]: 2023-03-06 20:27:52.268109, [Logical Clock Time]: 229
[Receive]: 238, [System time]: 2023-03-06 20:27:52.768599, [Message Queue Length]: 0, [Logical Clock Time]: 239
[Receive]: 241, [System time]: 2023-03-06 20:27:53.269195, [Message Queue Length]: 0, [Logical Clock Time]: 242
[Receive]: 244, [System time]: 2023-03-06 20:27:53.769790, [Message Queue Length]: 0, [Logical Clock Time]: 245
[Receive]: 246, [System time]: 2023-03-06 20:27:54.270372, [Message Queue Length]: 1, [Logical Clock Time]: 247
[Receive]: 247, [System time]: 2023-03-06 20:27:54.770961, [Message Queue Length]: 1, [Logical Clock Time]: 248
[Receive]: 251, [System time]: 2023-03-06 20:27:55.271540, [Message Queue Length]: 2, [Logical Clock Time]: 252
[Receive]: 252, [System time]: 2023-03-06 20:27:55.772152, [Message Queue Length]: 1, [Logical Clock Time]: 253
[Receive]: 254, [System time]: 2023-03-06 20:27:56.272742, [Message Queue Length]: 2, [Logical Clock Time]: 255
[Receive]: 258, [System time]: 2023-03-06 20:27:56.773392, [Message Queue Length]: 2, [Logical Clock Time]: 259
[Receive]: 259, [System time]: 2023-03-06 20:27:57.274019, [Message Queue Length]: 3, [Logical Clock Time]: 260
[Receive]: 261, [System time]: 2023-03-06 20:27:57.774614, [Message Queue Length]: 4, [Logical Clock Time]: 262
[Receive]: 264, [System time]: 2023-03-06 20:27:58.275227, [Message Queue Length]: 4, [Logical Clock Time]: 265
[Receive]: 265, [System time]: 2023-03-06 20:27:58.775801, [Message Queue Length]: 4, [Logical Clock Time]: 266
[Receive]: 268, [System time]: 2023-03-06 20:27:59.276383, [Message Queue Length]: 3, [Logical Clock Time]: 269
[Receive]: 269, [System time]: 2023-03-06 20:27:59.776984, [Message Queue Length]: 4, [Logical Clock Time]: 270
[Receive]: 273, [System time]: 2023-03-06 20:28:00.277582, [Message Queue Length]: 3, [Logical Clock Time]: 274
[Receive]: 275, [System time]: 2023-03-06 20:28:00.778275, [Message Queue Length]: 5, [Logical Clock Time]: 276
[Receive]: 280, [System time]: 2023-03-06 20:28:01.278715, [Message Queue Length]: 4, [Logical Clock Time]: 281
