=============LOG START=============
clock_rate = 6
[Send]: 1, [System time]: 2023-03-06 20:16:52.692933, [Logical Clock Time]: 1
[Internal event], [System time]: 2023-03-06 20:16:52.859822, [Logical Clock Time]: 2
[Send]: 3, [System time]: 2023-03-06 20:16:53.026772, [Logical Clock Time]: 3
[Internal event], [System time]: 2023-03-06 20:16:53.193608, [Logical Clock Time]: 4
[Internal event], [System time]: 2023-03-06 20:16:53.360535, [Logical Clock Time]: 5
[Send]: 6, [System time]: 2023-03-06 20:16:53.527558, [Logical Clock Time]: 6
[Send]: 7, [System time]: 2023-03-06 20:16:53.694454, [Logical Clock Time]: 7
[Send]: 8, [System time]: 2023-03-06 20:16:53.861370, [Logical Clock Time]: 8
[Internal event], [System time]: 2023-03-06 20:16:54.028190, [Logical Clock Time]: 9
[Send]: 10, [System time]: 2023-03-06 20:16:54.195212, [Logical Clock Time]: 10
[Send]: 11, [System time]: 2023-03-06 20:16:54.362123, [Logical Clock Time]: 11
[Receive]: 12, [System time]: 2023-03-06 20:16:54.528932, [Message Queue Length]: 0, [Logical Clock Time]: 13
[Send]: 14, [System time]: 2023-03-06 20:16:54.695898, [Logical Clock Time]: 14
[Internal event], [System time]: 2023-03-06 20:16:54.862732, [Logical Clock Time]: 15
[Send]: 16, [System time]: 2023-03-06 20:16:55.029742, [Logical Clock Time]: 16
[Internal event], [System time]: 2023-03-06 20:16:55.196561, [Logical Clock Time]: 17
[Send]: 18, [System time]: 2023-03-06 20:16:55.363542, [Logical Clock Time]: 18
[Internal event], [System time]: 2023-03-06 20:16:55.530406, [Logical Clock Time]: 19
[Internal event], [System time]: 2023-03-06 20:16:55.697274, [Logical Clock Time]: 20
[Send]: 21, [System time]: 2023-03-06 20:16:55.864293, [Logical Clock Time]: 21
[Internal event], [System time]: 2023-03-06 20:16:56.031086, [Logical Clock Time]: 22
[Receive]: 22, [System time]: 2023-03-06 20:16:56.197990, [Message Queue Length]: 0, [Logical Clock Time]: 23
[Send]: 24, [System time]: 2023-03-06 20:16:56.365019, [Logical Clock Time]: 24
[Send]: 25, [System time]: 2023-03-06 20:16:56.531938, [Logical Clock Time]: 25
[Internal event], [System time]: 2023-03-06 20:16:56.698707, [Logical Clock Time]: 26
[Internal event], [System time]: 2023-03-06 20:16:56.865616, [Logical Clock Time]: 27
[Internal event], [System time]: 2023-03-06 20:16:57.032508, [Logical Clock Time]: 28
[Send]: 29, [System time]: 2023-03-06 20:16:57.199598, [Logical Clock Time]: 29
[Internal event], [System time]: 2023-03-06 20:16:57.366369, [Logical Clock Time]: 30
[Internal event], [System time]: 2023-03-06 20:16:57.533297, [Logical Clock Time]: 31
[Internal event], [System time]: 2023-03-06 20:16:57.700189, [Logical Clock Time]: 32
[Internal event], [System time]: 2023-03-06 20:16:57.867137, [Logical Clock Time]: 33
[Internal event], [System time]: 2023-03-06 20:16:58.034039, [Logical Clock Time]: 34
[Internal event], [System time]: 2023-03-06 20:16:58.200930, [Logical Clock Time]: 35
[Send]: 36, [System time]: 2023-03-06 20:16:58.367945, [Logical Clock Time]: 36
[Internal event], [System time]: 2023-03-06 20:16:58.534738, [Logical Clock Time]: 37
[Internal event], [System time]: 2023-03-06 20:16:58.701627, [Logical Clock Time]: 38
[Send]: 39, [System time]: 2023-03-06 20:16:58.868667, [Logical Clock Time]: 39
[Internal event], [System time]: 2023-03-06 20:16:59.035448, [Logical Clock Time]: 40
[Internal event], [System time]: 2023-03-06 20:16:59.202347, [Logical Clock Time]: 41
[Internal event], [System time]: 2023-03-06 20:16:59.369244, [Logical Clock Time]: 42
[Internal event], [System time]: 2023-03-06 20:16:59.536141, [Logical Clock Time]: 43
[Internal event], [System time]: 2023-03-06 20:16:59.703025, [Logical Clock Time]: 44
[Internal event], [System time]: 2023-03-06 20:16:59.869930, [Logical Clock Time]: 45
[Send]: 46, [System time]: 2023-03-06 20:17:00.036869, [Logical Clock Time]: 46
[Internal event], [System time]: 2023-03-06 20:17:00.203716, [Logical Clock Time]: 47
[Send]: 48, [System time]: 2023-03-06 20:17:00.370703, [Logical Clock Time]: 48
[Internal event], [System time]: 2023-03-06 20:17:00.537565, [Logical Clock Time]: 49
[Send]: 50, [System time]: 2023-03-06 20:17:00.704586, [Logical Clock Time]: 50
[Internal event], [System time]: 2023-03-06 20:17:00.871357, [Logical Clock Time]: 51
[Send]: 52, [System time]: 2023-03-06 20:17:01.038305, [Logical Clock Time]: 52
[Internal event], [System time]: 2023-03-06 20:17:01.205140, [Logical Clock Time]: 53
[Internal event], [System time]: 2023-03-06 20:17:01.372018, [Logical Clock Time]: 54
[Internal event], [System time]: 2023-03-06 20:17:01.539034, [Logical Clock Time]: 55
[Send]: 56, [System time]: 2023-03-06 20:17:01.705955, [Logical Clock Time]: 56
[Send]: 57, [System time]: 2023-03-06 20:17:01.872908, [Logical Clock Time]: 57
[Internal event], [System time]: 2023-03-06 20:17:02.039672, [Logical Clock Time]: 58
[Send]: 59, [System time]: 2023-03-06 20:17:02.206823, [Logical Clock Time]: 59
[Internal event], [System time]: 2023-03-06 20:17:02.373471, [Logical Clock Time]: 60
[Internal event], [System time]: 2023-03-06 20:17:02.540382, [Logical Clock Time]: 61
[Internal event], [System time]: 2023-03-06 20:17:02.707262, [Logical Clock Time]: 62
[Internal event], [System time]: 2023-03-06 20:17:02.874217, [Logical Clock Time]: 63
[Receive]: 63, [System time]: 2023-03-06 20:17:03.041117, [Message Queue Length]: 0, [Logical Clock Time]: 64
[Send]: 65, [System time]: 2023-03-06 20:17:03.208081, [Logical Clock Time]: 65
[Internal event], [System time]: 2023-03-06 20:17:03.374924, [Logical Clock Time]: 66
[Receive]: 67, [System time]: 2023-03-06 20:17:03.541833, [Message Queue Length]: 0, [Logical Clock Time]: 68
[Internal event], [System time]: 2023-03-06 20:17:03.708712, [Logical Clock Time]: 69
[Internal event], [System time]: 2023-03-06 20:17:03.875638, [Logical Clock Time]: 70
[Send]: 71, [System time]: 2023-03-06 20:17:04.042676, [Logical Clock Time]: 71
[Send]: 72, [System time]: 2023-03-06 20:17:04.209593, [Logical Clock Time]: 72
[Internal event], [System time]: 2023-03-06 20:17:04.376389, [Logical Clock Time]: 73
[Send]: 74, [System time]: 2023-03-06 20:17:04.543471, [Logical Clock Time]: 74
[Internal event], [System time]: 2023-03-06 20:17:04.710242, [Logical Clock Time]: 75
[Internal event], [System time]: 2023-03-06 20:17:04.877140, [Logical Clock Time]: 76
[Internal event], [System time]: 2023-03-06 20:17:05.044039, [Logical Clock Time]: 77
[Internal event], [System time]: 2023-03-06 20:17:05.210943, [Logical Clock Time]: 78
[Internal event], [System time]: 2023-03-06 20:17:05.377829, [Logical Clock Time]: 79
[Receive]: 79, [System time]: 2023-03-06 20:17:05.544754, [Message Queue Length]: 0, [Logical Clock Time]: 80
[Send]: 81, [System time]: 2023-03-06 20:17:05.711743, [Logical Clock Time]: 81
[Internal event], [System time]: 2023-03-06 20:17:05.878562, [Logical Clock Time]: 82
[Send]: 83, [System time]: 2023-03-06 20:17:06.045558, [Logical Clock Time]: 83
[Send]: 84, [System time]: 2023-03-06 20:17:06.212521, [Logical Clock Time]: 84
[Send]: 85, [System time]: 2023-03-06 20:17:06.379466, [Logical Clock Time]: 85
[Internal event], [System time]: 2023-03-06 20:17:06.546274, [Logical Clock Time]: 86
[Send]: 87, [System time]: 2023-03-06 20:17:06.713212, [Logical Clock Time]: 87
[Send]: 88, [System time]: 2023-03-06 20:17:06.880170, [Logical Clock Time]: 88
[Internal event], [System time]: 2023-03-06 20:17:07.046971, [Logical Clock Time]: 89
[Internal event], [System time]: 2023-03-06 20:17:07.213865, [Logical Clock Time]: 90
[Internal event], [System time]: 2023-03-06 20:17:07.380743, [Logical Clock Time]: 91
[Receive]: 91, [System time]: 2023-03-06 20:17:07.547678, [Message Queue Length]: 0, [Logical Clock Time]: 92
[Internal event], [System time]: 2023-03-06 20:17:07.714551, [Logical Clock Time]: 93
[Send]: 94, [System time]: 2023-03-06 20:17:07.881591, [Logical Clock Time]: 94
[Internal event], [System time]: 2023-03-06 20:17:08.048455, [Logical Clock Time]: 95
[Internal event], [System time]: 2023-03-06 20:17:08.215359, [Logical Clock Time]: 96
[Send]: 97, [System time]: 2023-03-06 20:17:08.382391, [Logical Clock Time]: 97
[Internal event], [System time]: 2023-03-06 20:17:08.549184, [Logical Clock Time]: 98
[Internal event], [System time]: 2023-03-06 20:17:08.716056, [Logical Clock Time]: 99
[Send]: 100, [System time]: 2023-03-06 20:17:08.883140, [Logical Clock Time]: 100
[Internal event], [System time]: 2023-03-06 20:17:09.049887, [Logical Clock Time]: 101
[Internal event], [System time]: 2023-03-06 20:17:09.216809, [Logical Clock Time]: 102
